population	contig	mean_cov	med_cov
B7	3R_28	70.7569178424719	69.89
B7	3R_5	43.5911764705882	39.25
B7	4_2	89.4216464339909	91.435
B7	Contig119	49.472962962963	34.54
B7	Contig79	31.9056976744186	31.185
B7	tig00057289	35.754	18.63
B7	X_1	68.6688393855705	68.1
t0XSAM	2L_1	52.7418980835427	52.57
t0XSAM	2R_21	51.5749279671761	52
t0XSAM	3L_1	52.4524621450783	52.82
t0XSAM	3R_28	51.6390376853009	52
t0XSAM	3R_5	22.54	21.105
t0XSAM	4_2	61.804404400607	63.345
t0XSAM	Contig119	27.6065432098765	16.13
t0XSAM	Contig79	42.8089534883721	40.04
t0XSAM	tig00057289	23.742	21.05
t0XSAM	X_1	49.3188444069112	50.01
t0XSS	2L_1	54.7260801004745	54.33
t0XSS	2R_21	53.8379010211373	54.46
t0XSS	3L_1	54.0059966260848	54.5
t0XSS	3R_28	53.6079187354885	54.03
t0XSS	3R_5	23.5353921568627	22.71
t0XSS	4_2	60.0975531107739	62.125
t0XSS	Contig119	29.1103703703704	14.25
t0XSS	Contig79	43.6495348837209	42.295
t0XSS	tig00057289	30.2	16.12
t0XSS	X_1	50.9610318855134	51.54
