chromosome	chromatin	region	contig_name	start.range	end.range	length
X	het	proximal_centromeric region	Contig83	0	15769	15769
3	het	proximal_centromeric region	Contig86	0	30087	30087
.	het	.	Contig87	0	13052	13052
3	het	.	Contig9	0	393235	393235
.	het	.	Contig90	0	32831	32831
.	het	.	Contig92	0	25251	25251
.	het	.	Contig93	0	19945	19945
3	het	.	Contig94	0	12855	12855
X	het	proximal_centromeric region	Contig95	0	17404	17404
X	het	proximal_centromeric region	Contig96	0	19727	19727
3	het	.	Contig98	0	7989	7989
.	het	.	Contig99	0	21056	21056
.		.	dmel_mitochondrion_genome	0	19532	19532
2	het	proximal_centromeric region	Rsp_2	0	25308	25308
X	het	telomere	X_1	0	123800	123800
X	eu	.	X_1	123800	21906113	21782313
X	het	.	X_10	0	115839	115839
X	eu	.	X_2	0	353202	353202
X	eu	.	X_3	0	20518	20518
X	het	.	X3X4_6_D1712_2	0	67988	67988
X	eu	.	X_7	0	340031	340031
X	het	.	X_7	340031	733110	393079
X	het	.	X_9	0	35571	35571
Y	het	.	Y_Contig10	0	396096	396096
Y	het	.	Y_Contig100	0	6306	6306
Y	het	.	Y_Contig104	0	415375	415375
Y	het	.	Y_Contig106	0	59005	59005
Y	het	.	Y_Contig108	0	42663	42663
Y	het	.	Y_Contig109	0	38313	38313
Y	het	.	Y_Contig113	0	50367	50367
Y	het	.	Y_Contig122	0	59453	59453
Y	het	.	Y_Contig124	0	71252	71252
Y	het	.	Y_Contig125	0	33888	33888
Y	het	.	Y_Contig126	0	56127	56127
Y	het	.	Y_Contig127	0	60823	60823
Y	het	.	Y_Contig130	0	70942	70942
Y	het	.	Y_Contig132	0	23371	23371
Y	het	.	Y_Contig14	0	239311	239311
Y	het	.	Y_Contig140	0	716467	716467
Y	het	.	Y_Contig141	0	190784	190784
Y	het	.	Y_Contig143	0	83747	83747
Y	het	.	Y_Contig17	0	416887	416887
Y	het	proximal_centromeric region	Y_Contig2	0	1011280	1011280
Y	het	.	Y_Contig20	0	338369	338369
Y	het	.	Y_Contig22	0	157794	157794
Y	het	.	Y_Contig23	0	189747	189747
Y	het	centromere	Y_Contig26	0	139957	139957
Y	het	.	Y_Contig28	0	157911	157911
Y	het	.	Y_Contig29	0	123550	123550
Y	het	.	Y_Contig32	0	50581	50581
Y	het	.	Y_Contig33	0	260816	260816
Y	het	.	Y_Contig34	0	93265	93265
Y	het	.	Y_Contig35	0	186386	186386
Y	het	.	Y_Contig4	0	644356	644356
Y	het	.	Y_Contig40	0	37260	37260
Y	het	.	Y_Contig44	0	35218	35218
Y	het	.	Y_Contig48	0	48393	48393
Y	het	.	Y_Contig52	0	39424	39424
Y	het	.	Y_Contig6	0	458350	458350
Y	het	.	Y_Contig65	0	52166	52166
Y	het	.	Y_Contig68	0	18332	18332
Y	het	.	Y_Contig70	0	28820	28820
Y	het	.	Y_Contig71	0	18047	18047
Y	het	.	Y_Contig73	0	58927	58927
Y	het	.	Y_Contig74	0	92656	92656
Y	het	.	Y_Contig75	0	62633	62633
Y	het	.	Y_Contig77	0	107302	107302
Y	het	.	Y_Contig78	0	74813	74813
Y	het	.	Y_Contig81	0	32099	32099
Y	het	.	Y_Contig88	0	41475	41475
Y	het	.	Y_Contig89	0	25792	25792
Y	het	.	Y_Contig91	0	37888	37888
Y	het	.	Y_Contig97	0	34309	34309
Y	het	.	Y_scaffold3	0	235319	235319
Y	het	.	Y_scaffold4	0	3349330	3349330
Y	het	.	Y_scaffold5	0	686231	686231
Y	het	.	Y_scaffold6	0	574027	574027
Y	het	.	Y_scaffold7	0	2069423	2069423
3	het	proximal_centromeric region	id=102159_0	0	20774	20774
X	het	.	id=104983_0	0	24728	24728
X	het	.	id=130011_0	0	16412	16412
.	het	.	id=134134_0	0	16339	16339
.	het	.	id=134699_0	0	14118	14118
.	het	.	id13735	0	20650	20650
.	het	.	id13809	0	20650	20650
3	het	proximal_centromeric region	id=139401_0	0	11405	11405
.	het	.	id=142686_0	0	19566	19566
.	het	.	id=154173_0	0	6590	6590
.	het	.	id=51911_0	0	22343	22343
.	het	.	id5721	0	21076	21076
3	het	proximal_centromeric region	id=67822_0	0	14294	14294
3	het	proximal_centromeric region	tig00000039	0	42086	42086
.	het	.	tig00002536	0	17216	17216
.	het	.	tig00002845	0	33385	33385
3	het	proximal_centromeric region	tig00022795	0	30745	30745
.	het	.	tig00051078	0	8880	8880
2	het	centromere	tig00057289	0	24561	24561
