te.name	contig	contig.start	contig.end	div	TE	te.start	te.end	strain	ref.chrom	ref.chromatin	ref.region	uniq.subs	grouping
Y_Contig26|24030-26576|-|	Y_Contig26	24031	26576	1.1	Jockey-3_DM	1762	4293	ISO1	Y	het	centromere	6	Clade1
Y_Contig26|27741-32059|-|	Y_Contig26	27742	32059	1.2	Jockey-3_DM	1	4293	ISO1	Y	het	centromere	8	Clade1
Y_Contig26|33198-33434|+|	Y_Contig26	33199	33434	5.1	Jockey-3_DM	1	270	ISO1	Y	het	centromere	7	Clade1
Y_Contig26|33429-33578|+|	Y_Contig26	33430	33578	5.4	Jockey-3_DM	1922	2068	ISO1	Y	het	centromere	2	Clade3
Y_Contig26|33553-33722|+|	Y_Contig26	33554	33722	7.7	Jockey-3_DM	4121	4292	ISO1	Y	het	centromere	5	Clade2
Y_Contig26|34026-34351|+|	Y_Contig26	34027	34351	5.3	Jockey-3_DM	1	335	ISO1	Y	het	centromere	14	Clade3
Y_Contig26|34349-34653|-|	Y_Contig26	34350	34653	2.3	Jockey-3_DM	2618	2921	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|34816-35402|-|	Y_Contig26	34817	35402	4.4	Jockey-3_DM	2604	3229	ISO1	Y	het	centromere	13	Clade3
Y_Contig26|35843-36446|+|	Y_Contig26	35844	36446	3	Jockey-3_DM	3665	4267	ISO1	Y	het	centromere	4	Clade4
Y_Contig26|36446-39903|-|	Y_Contig26	36447	39903	0.9	Jockey-3_DM	841	4294	ISO1	Y	het	centromere	9	Clade1
Y_Contig26|39911-40080|+|	Y_Contig26	39912	40080	5.3	Jockey-3_DM	3947	4115	ISO1	Y	het	centromere	3	Clade4A
Y_Contig26|40077-40225|-|	Y_Contig26	40078	40225	10.1	Jockey-3_DM	3723	3883	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|40221-40384|+|	Y_Contig26	40222	40384	3.1	Jockey-3_DM	4130	4292	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|40384-40571|-|	Y_Contig26	40385	40571	8.6	Jockey-3_DM	3507	3724	ISO1	Y	het	centromere	4	Clade3
Y_Contig26|40562-40805|-|	Y_Contig26	40563	40805	4.1	Jockey-3_DM	3102	3412	ISO1	Y	het	centromere	3	Clade3
Y_Contig26|40804-42451|-|	Y_Contig26	40805	42451	1.5	Jockey-3_DM	2604	4283	ISO1	Y	het	centromere	8	Clade1
Y_Contig26|42794-43405|+|	Y_Contig26	42795	43405	2.3	Jockey-3_DM	3665	4284	ISO1	Y	het	centromere	4	Clade1
Y_Contig26|43408-43603|-|	Y_Contig26	43409	43603	3.6	Jockey-3_DM	2604	2798	ISO1	Y	het	centromere	2	Clade3
Y_Contig26|43612-45220|-|	Y_Contig26	43613	45220	1.2	Jockey-3_DM	2604	4293	ISO1	Y	het	centromere	7	Clade1
Y_Contig26|45563-46188|+|	Y_Contig26	45564	46188	4.2	Jockey-3_DM	3665	4293	ISO1	Y	het	centromere	4	Clade4
Y_Contig26|46188-46363|-|	Y_Contig26	46189	46363	8	Jockey-3_DM	3550	3724	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|46362-47070|-|	Y_Contig26	46363	47070	4.1	Jockey-3_DM	2604	3312	ISO1	Y	het	centromere	7	Clade3
Y_Contig26|47397-48018|+|	Y_Contig26	47398	48018	3.9	Jockey-3_DM	3665	4285	ISO1	Y	het	centromere	4	Clade4
Y_Contig26|48018-49139|-|	Y_Contig26	48019	49139	4	Jockey-3_DM	2604	3724	ISO1	Y	het	centromere	14	Clade3
Y_Contig26|49482-50096|+|	Y_Contig26	49483	50096	3.4	Jockey-3_DM	3665	4289	ISO1	Y	het	centromere	2	Clade4
Y_Contig26|50097-51127|-|	Y_Contig26	50098	51127	4.5	Jockey-3_DM	2694	3724	ISO1	Y	het	centromere	9	Clade3
Y_Contig26|51159-52825|-|	Y_Contig26	51160	52825	2.2	Jockey-3_DM	2605	4274	ISO1	Y	het	centromere	9	Clade3
Y_Contig26|53154-53319|+|	Y_Contig26	53155	53319	4.8	Jockey-3_DM	3665	3829	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|53318-54286|-|	Y_Contig26	53319	54286	3.4	Jockey-3_DM	2604	3573	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|54615-54780|+|	Y_Contig26	54616	54780	4.8	Jockey-3_DM	3665	3829	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|54779-55747|-|	Y_Contig26	54780	55747	3.3	Jockey-3_DM	2604	3573	ISO1	Y	het	centromere	0	Clade3
Y_Contig26|56076-56698|+|	Y_Contig26	56077	56698	3.2	Jockey-3_DM	3665	4287	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|56699-57824|-|	Y_Contig26	56700	57824	4	Jockey-3_DM	2604	3724	ISO1	Y	het	centromere	5	Clade3
Y_Contig26|58153-58778|+|	Y_Contig26	58154	58778	3.4	Jockey-3_DM	3665	4289	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|58779-59720|-|	Y_Contig26	58780	59720	3.8	Jockey-3_DM	2747	3724	ISO1	Y	het	centromere	3	Clade3
Y_Contig26|59715-60042|-|	Y_Contig26	59716	60042	7.3	Jockey-3_DM	3723	4062	ISO1	Y	het	centromere	5	Clade4A
Y_Contig26|60038-60197|+|	Y_Contig26	60039	60197	3.1	Jockey-3_DM	4130	4288	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|60197-60475|-|	Y_Contig26	60198	60475	6.1	Jockey-3_DM	3447	3724	ISO1	Y	het	centromere	1	Clade3
Y_Contig26|60475-61078|-|	Y_Contig26	60476	61078	3.6	Jockey-3_DM	2604	3237	ISO1	Y	het	centromere	0	Clade3
Y_Contig26|61450-62073|+|	Y_Contig26	61451	62073	3.2	Jockey-3_DM	3665	4287	ISO1	Y	het	centromere	0	Clade4
Y_Contig26|62074-63185|-|	Y_Contig26	62075	63185	3.7	Jockey-3_DM	2604	3724	ISO1	Y	het	centromere	3	Clade3
Y_Contig26|63514-64115|+|	Y_Contig26	63515	64115	4	Jockey-3_DM	3665	4265	ISO1	Y	het	centromere	3	Clade4
Y_Contig26|64225-65893|-|	Y_Contig26	64226	65893	1.8	Jockey-3_DM	2604	4273	ISO1	Y	het	centromere	3	Clade3
Y_Contig26|66222-66824|+|	Y_Contig26	66223	66824	3.5	Jockey-3_DM	3665	4266	ISO1	Y	het	centromere	1	Clade4
Y_Contig26|66860-68529|-|	Y_Contig26	66861	68529	1.9	Jockey-3_DM	2604	4273	ISO1	Y	het	centromere	5	Clade3
Y_Contig26|68858-69460|+|	Y_Contig26	68859	69460	3.6	Jockey-3_DM	3665	4266	ISO1	Y	het	centromere	1	Clade4
Y_Contig26|69496-70277|-|	Y_Contig26	69497	70277	0.8	Jockey-3_DM	3492	4273	ISO1	Y	het	centromere	2	Clade1
Y_Contig26|70314-71296|-|	Y_Contig26	70315	71296	3.8	Jockey-3_DM	2747	3724	ISO1	Y	het	centromere	3	Clade3
Y_Contig26|71292-71618|-|	Y_Contig26	71293	71618	6.4	Jockey-3_DM	3723	4061	ISO1	Y	het	centromere	0	Clade4A
Y_Contig26|71614-71773|+|	Y_Contig26	71615	71773	3.8	Jockey-3_DM	4130	4288	ISO1	Y	het	centromere	0	Clade2
Y_Contig26|71773-72051|-|	Y_Contig26	71774	72051	6.1	Jockey-3_DM	3447	3724	ISO1	Y	het	centromere	2	Clade3
Y_Contig26|72051-72654|-|	Y_Contig26	72052	72654	4	Jockey-3_DM	2604	3237	ISO1	Y	het	centromere	2	Clade3
Y_Contig26|72983-73557|+|	Y_Contig26	72984	73557	3.8	Jockey-3_DM	3665	4266	ISO1	Y	het	centromere	2	Clade4
Y_Contig26|73643-77222|+|	Y_Contig26	73644	77222	0.9	Jockey-3_DM	1	3605	ISO1	Y	het	centromere	7	Clade1
Y_Contig26|77259-77790|-|	Y_Contig26	77260	77790	4.5	Jockey-3_DM	3724	4267	ISO1	Y	het	centromere	2	Clade4A
Y_Contig26|77793-77946|+|	Y_Contig26	77794	77946	3.3	Jockey-3_DM	4136	4288	ISO1	Y	het	centromere	2	Clade2
Y_Contig26|77946-79030|-|	Y_Contig26	77947	79030	3.9	Jockey-3_DM	2604	3724	ISO1	Y	het	centromere	9	Clade3
Y_Contig26|79294-83324|+|	Y_Contig26	79295	83324	1.4	Jockey-3_DM	1	4113	ISO1	Y	het	centromere	28	Clade1
Y_Contig26|83322-86727|-|	Y_Contig26	83323	86727	0.8	Jockey-3_DM	1	3484	ISO1	Y	het	centromere	1	Clade1
