te.name	species.var1	contig.var1	start.var1	end.var1	direction.var1	mid.var1	clade
ISO1|Y_Contig26|64225-65893|-|	ISO1	Y_Contig26	64225	65893	-	65059	Clade3
ISO1|Y_Contig26|66222-66824|+|	ISO1	Y_Contig26	66222	66824	+	66523	Clade4
ISO1|Y_Contig26|66860-68529|-|	ISO1	Y_Contig26	66860	68529	-	67694.5	Clade3
ISO1|Y_Contig26|68858-69460|+|	ISO1	Y_Contig26	68858	69460	+	69159	Clade4
ISO1|Y_Contig26|69496-70277|-|	ISO1	Y_Contig26	69496	70277	-	69886.5	Clade1
ISO1|Y_Contig26|70314-71296|-|	ISO1	Y_Contig26	70314	71296	-	70805	Clade3
ISO1|Y_Contig26|71292-71618|-|	ISO1	Y_Contig26	71292	71618	-	71455	Clade4A
ISO1|Y_Contig26|71614-71773|+|	ISO1	Y_Contig26	71614	71773	+	71693.5	Clade2
ISO1|Y_Contig26|71773-72051|-|	ISO1	Y_Contig26	71773	72051	-	71912	Clade3
ISO1|Y_Contig26|72051-72654|-|	ISO1	Y_Contig26	72051	72654	-	72352.5	Clade3
ISO1|Y_Contig26|72983-73557|+|	ISO1	Y_Contig26	72983	73557	+	73270	Clade4
ISO1|Y_Contig26|73602-77222|+|	ISO1	Y_Contig26	73602	77222	+	75412	Clade1
ISO1|Y_Contig26|77259-77790|-|	ISO1	Y_Contig26	77259	77790	-	77524.5	Clade4A
ISO1|Y_Contig26|77793-77946|+|	ISO1	Y_Contig26	77793	77946	+	77869.5	Clade2
ISO1|Y_Contig26|77946-79030|-|	ISO1	Y_Contig26	77946	79030	-	78488	Clade3
ISO1|Y_Contig26|79253-83324|+|	ISO1	Y_Contig26	79253	83324	+	81288.5	Clade1
ISO1|Y_Contig26|83322-86768|-|	ISO1	Y_Contig26	83322	86768	-	85045	Clade1
ISO1|Y_Contig26|86773-87290|-|	ISO1	Y_Contig26	86773	87290	-	87031.5	Clade4A
ISO1|Y_Contig26|87286-87423|+|	ISO1	Y_Contig26	87286	87423	+	87354.5	Clade2
ISO1|Y_Contig26|87423-87552|-|	ISO1	Y_Contig26	87423	87552	-	87487.5	Clade2
ISO1|Y_Contig26|87593-88264|-|	ISO1	Y_Contig26	87593	88264	-	87928.5	Clade3
ISO1|Y_Contig26|88263-91914|-|	ISO1	Y_Contig26	88263	91914	-	90088.5	Clade1
ISO1|Y_Contig26|91905-92319|-|	ISO1	Y_Contig26	91905	92319	-	92112	Clade4A
ISO1|Y_Contig26|92315-92452|+|	ISO1	Y_Contig26	92315	92452	+	92383.5	Clade2
ISO1|Y_Contig26|92452-92581|-|	ISO1	Y_Contig26	92452	92581	-	92516.5	Clade2
ISO1|Y_Contig26|92623-93294|-|	ISO1	Y_Contig26	92623	93294	-	92958.5	Clade3
ISO1|Y_Contig26|93293-97605|-|	ISO1	Y_Contig26	93293	97605	-	95449	Clade1
ISO1|Y_Contig26|97601-97958|-|	ISO1	Y_Contig26	97601	97958	-	97779.5	Clade3
ISO1|Y_Contig26|98287-98400|+|	ISO1	Y_Contig26	98287	98400	+	98343.5	Clade4
ISO1|Y_Contig26|98399-98751|+|	ISO1	Y_Contig26	98399	98751	+	98575	Clade4A
ISO1|Y_Contig26|98751-98888|-|	ISO1	Y_Contig26	98751	98888	-	98819.5	Clade2
ISO1|Y_Contig26|98884-99438|+|	ISO1	Y_Contig26	98884	99438	+	99161	Clade4A
ISO1|Y_Contig26|99438-99968|-|	ISO1	Y_Contig26	99438	99968	-	99703	Clade4A
ISO1|Y_Contig26|99971-100126|+|	ISO1	Y_Contig26	99971	100126	+	100048.5	Clade2
ISO1|Y_Contig26|100126-101150|-|	ISO1	Y_Contig26	100126	101150	-	100638	Clade3
ISO1|Y_Contig26|101479-101592|+|	ISO1	Y_Contig26	101479	101592	+	101535.5	Clade4
ISO1|Y_Contig26|101591-101946|+|	ISO1	Y_Contig26	101591	101946	+	101768.5	Clade4A
ISO1|Y_Contig26|101946-102083|-|	ISO1	Y_Contig26	101946	102083	-	102014.5	Clade2
ISO1|Y_Contig26|102079-102610|+|	ISO1	Y_Contig26	102079	102610	+	102344.5	Clade4A
ISO1|Y_Contig26|102610-102773|-|	ISO1	Y_Contig26	102610	102773	-	102691.5	Clade2
ISO1|Y_Contig26|102769-103325|+|	ISO1	Y_Contig26	102769	103325	+	103047	Clade4A
ISO1|Y_Contig26|103325-103856|-|	ISO1	Y_Contig26	103325	103856	-	103590.5	Clade4A
ISO1|Y_Contig26|103852-104013|+|	ISO1	Y_Contig26	103852	104013	+	103932.5	Clade2
ISO1|Y_Contig26|104013-104543|-|	ISO1	Y_Contig26	104013	104543	-	104278	Clade4A
ISO1|Y_Contig26|104539-104700|+|	ISO1	Y_Contig26	104539	104700	+	104619.5	Clade2
ISO1|Y_Contig26|104700-104837|-|	ISO1	Y_Contig26	104700	104837	-	104768.5	Clade2
ISO1|Y_Contig26|104833-105170|+|	ISO1	Y_Contig26	104833	105170	+	105001.5	Clade4A
ISO1|Y_Contig26|105185-105322|-|	ISO1	Y_Contig26	105185	105322	-	105253.5	Clade2
ISO1|Y_Contig26|105307-105852|+|	ISO1	Y_Contig26	105307	105852	+	105579.5	Clade4A
ISO1|Y_Contig26|105913-106043|+|	ISO1	Y_Contig26	105913	106043	+	105978	Clade2
ISO1|Y_Contig26|106043-106598|-|	ISO1	Y_Contig26	106043	106598	-	106320.5	Clade4A
ISO1|Y_Contig26|106594-106754|+|	ISO1	Y_Contig26	106594	106754	+	106674	Clade2
ISO1|Y_Contig26|106754-106891|-|	ISO1	Y_Contig26	106754	106891	-	106822.5	Clade2
ISO1|Y_Contig26|106887-107443|+|	ISO1	Y_Contig26	106887	107443	+	107165	Clade4A
ISO1|Y_Contig26|107443-107579|-|	ISO1	Y_Contig26	107443	107579	-	107511	Clade2
ISO1|Y_Contig26|107575-107880|+|	ISO1	Y_Contig26	107575	107880	+	107727.5	Clade4A
ISO1|Y_Contig26|107885-108005|+|	ISO1	Y_Contig26	107885	108005	+	107945	Clade2
ISO1|Y_Contig26|108005-108164|-|	ISO1	Y_Contig26	108005	108164	-	108084.5	Clade2
ISO1|Y_Contig26|108160-108609|+|	ISO1	Y_Contig26	108160	108609	+	108384.5	Clade4A
ISO1|Y_Contig26|108604-108907|-|	ISO1	Y_Contig26	108604	108907	-	108755.5	Clade4A
ISO1|Y_Contig26|108908-108988|-|	ISO1	Y_Contig26	108908	108988	-	108948	Clade2
ISO1|Y_Contig26|108984-109538|+|	ISO1	Y_Contig26	108984	109538	+	109261	Clade4A
ISO1|Y_Contig26|109538-109674|-|	ISO1	Y_Contig26	109538	109674	-	109606	Clade2
ISO1|Y_Contig26|109670-109975|+|	ISO1	Y_Contig26	109670	109975	+	109822.5	Clade4A
ISO1|Y_Contig26|109980-110100|+|	ISO1	Y_Contig26	109980	110100	+	110040	Clade2
ISO1|Y_Contig26|110100-110258|-|	ISO1	Y_Contig26	110100	110258	-	110179	Clade2
ISO1|Y_Contig26|110254-110703|+|	ISO1	Y_Contig26	110254	110703	+	110478.5	Clade4A
ISO1|Y_Contig26|110698-111001|-|	ISO1	Y_Contig26	110698	111001	-	110849.5	Clade4A
ISO1|Y_Contig26|111002-111476|-|	ISO1	Y_Contig26	111002	111476	-	111239	Clade4A
ISO1|Y_Contig26|111472-111633|+|	ISO1	Y_Contig26	111472	111633	+	111552.5	Clade2
ISO1|Y_Contig26|111633-111770|-|	ISO1	Y_Contig26	111633	111770	-	111701.5	Clade2
ISO1|Y_Contig26|111755-112271|+|	ISO1	Y_Contig26	111755	112271	+	112013	Clade4A
ISO1|Y_Contig26|112271-112827|-|	ISO1	Y_Contig26	112271	112827	-	112549	Clade4A
ISO1|Y_Contig26|112883-113043|+|	ISO1	Y_Contig26	112883	113043	+	112963	Clade2
ISO1|Y_Contig26|113043-113592|-|	ISO1	Y_Contig26	113043	113592	-	113317.5	Clade3
ISO1|Y_Contig26|113586-114142|-|	ISO1	Y_Contig26	113586	114142	-	113864	Clade4A
ISO1|Y_Contig26|114138-114300|+|	ISO1	Y_Contig26	114138	114300	+	114219	Clade2
ISO1|Y_Contig26|114300-114437|-|	ISO1	Y_Contig26	114300	114437	-	114368.5	Clade2
ISO1|Y_Contig26|114422-114936|+|	ISO1	Y_Contig26	114422	114936	+	114679	Clade4A
ISO1|Y_Contig26|114936-115496|-|	ISO1	Y_Contig26	114936	115496	-	115216	Clade4A
ISO1|Y_Contig26|115492-115629|+|	ISO1	Y_Contig26	115492	115629	+	115560.5	Clade2
ISO1|Y_Contig26|115629-116183|-|	ISO1	Y_Contig26	115629	116183	-	115906	Clade4A
ISO1|Y_Contig26|116179-116339|+|	ISO1	Y_Contig26	116179	116339	+	116259	Clade2
ISO1|Y_Contig26|116339-117458|-|	ISO1	Y_Contig26	116339	117458	-	116898.5	Clade3
ISO1|Y_Contig26|117800-118401|+|	ISO1	Y_Contig26	117800	118401	+	118100.5	Clade4
ISO1|Y_Contig26|122318-123015|+|	ISO1	Y_Contig26	122318	123015	+	122666.5	Clade3
ISO1|Y_Contig26|123016-123170|-|	ISO1	Y_Contig26	123016	123170	-	123093	Clade4
ISO1|Y_Contig26|123164-124356|+|	ISO1	Y_Contig26	123164	124356	+	123760	Clade3
ISO1|Y_Contig26|124355-124521|-|	ISO1	Y_Contig26	124355	124521	-	124438	Clade4
ISO1|Y_Contig26|124530-125838|+|	ISO1	Y_Contig26	124530	125838	+	125184	Clade3
ISO1|Y_Contig26|125837-126003|-|	ISO1	Y_Contig26	125837	126003	-	125920	Clade4
ISO1|Y_Contig26|126012-127299|+|	ISO1	Y_Contig26	126012	127299	+	126655.5	Clade3
ISO1|Y_Contig26|127278-128104|+|	ISO1	Y_Contig26	127278	128104	+	127691	Clade3
ISO1|Y_Contig26|128102-128450|-|	ISO1	Y_Contig26	128102	128450	-	128276	Clade4
ISO1|Y_Contig26|128459-130879|+|	ISO1	Y_Contig26	128459	130879	+	129669	Clade3
