te.name	strain	contig	start	end	strand	div	uniq.subs	uniq.subs.orf	centromere	denovo	tsd.5	tsd.adjacent	nts	tsd.3.reverse	tsd.3.forward	groups	keep.delete	transcribed	ref.contig	ref.start	ref.chrom	ref.chromatin	ref.region	start.new	tag.present.ref	target	motif	te.start	te.end
ISO1|Y_Contig10|248772-249888|-|	ISO1	Y_Contig10	248772	249888	-	1	0	0	non-centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig10	248772	Y	het	.	7440318	NA	Target	Motif:Jockey-3_Dmel_08212020	1362	2485
ISO1|Y_Contig74|64194-64676|+|	ISO1	Y_Contig74	64194	64676	+	1.2	0	0	non-centromere	no	yes	no	no	no	no	0	keep	no	Y_Contig74	64194	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	3811	4293
ISO1|Y_Contig74|53704-54187|-|	ISO1	Y_Contig74	53704	54187	-	1.2	0	0	non-centromere	no	yes	no	no	no	no	0	keep	no	Y_Contig74	53704	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	3811	4294
ISO1|Y_scaffold5|349853-351307|+|	ISO1	Y_scaffold5	349853	351307	+	1.9	12	8	non-centromere	no	no	no	no	no	no	0	keep	no	Y_scaffold5	349853	Y	het	.	10563905	NA	Target	Motif:Jockey-3_Dmel_08212020	2850	4303
ISO1|Y_Contig26|124530-125838|+|	ISO1	Y_Contig26	124530	125838	+	1.5	0	NA	centromere	no	yes	yes	yes	no	no	0	keep	no	Y_Contig26	124530	Y	het	centromere	10098625	NA	Target	Motif:Jockey-3_Dmel_08212020	1	1278
ISO1|Y_Contig26|123164-124356|+|	ISO1	Y_Contig26	123164	124356	+	1.7	4	NA	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	123164	Y	het	centromere	10097259	NA	Target	Motif:Jockey-3_Dmel_08212020	76	1278
ISO1|Y_Contig26|127278-128104|+|	ISO1	Y_Contig26	127278	128104	+	3	20	6	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	127278	Y	het	centromere	10101373	NA	Target	Motif:Jockey-3_Dmel_08212020	1831	2650
ISO1|Y_Contig26|126012-127299|+|	ISO1	Y_Contig26	126012	127299	+	2.1	6	NA	centromere	no	yes	yes	yes	no	no	0	keep	no	Y_Contig26	126012	Y	het	centromere	10100107	NA	Target	Motif:Jockey-3_Dmel_08212020	1	1263
ISO1|Y_Contig26|128459-130879|+|	ISO1	Y_Contig26	128459	130879	+	3.2	21	11	centromere	no	yes	yes	yes	no	no	0	keep	no	Y_Contig26	128459	Y	het	centromere	10102554	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2480
ISO1|Contig119|64539-66276|-|	ISO1	Contig119	64539	66276	-	2.5	26	7	centromere	no	yes	yes	yes	yes	no	0	keep	no	Contig119	64539	4	het	centromere	64539	NA	Target	Motif:Jockey-3_Dmel_08212020	1	1703
ISO1|Contig119|58079-59406|-|	ISO1	Contig119	58079	59406	-	2.4	17	8	centromere	no	no	no	no	yes	no	0	keep	no	Contig119	58079	4	het	centromere	58079	NA	Target	Motif:Jockey-3_Dmel_08212020	1067	2388
ISO1|Contig119|48478-51184|+|	ISO1	Contig119	48478	51184	+	2.8	29	12	centromere	no	no	no	yes	no	no	0	keep	no	Contig119	48478	4	het	centromere	48478	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2723
ISO1|Contig79|42511-44652|-|	ISO1	Contig79	42511	44652	-	3.5	28	28	centromere	no	no	no	no	no	no	0	keep	no	Contig79	42511	X	het	centromere	25266777	NA	Target	Motif:Jockey-3_Dmel_08212020	1946	4133
ISO1|Contig79|10829-12679|-|	ISO1	Contig79	10829	12679	-	3.2	25	25	centromere	no	no	no	no	no	no	0	keep	no	Contig79	10829	X	het	centromere	25235095	NA	Target	Motif:Jockey-3_Dmel_08212020	2363	4294
ISO1|Y_Contig70|14560-16179|-|	ISO1	Y_Contig70	14560	16179	-	2.8	14	14	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	14560	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	1646	3564
ISO1|Y_Contig70|9233-10811|-|	ISO1	Y_Contig70	9233	10811	-	2.3	3	3	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	9233	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	1646	3240
ISO1|Y_Contig26|99438-99968|-|	ISO1	Y_Contig26	99438	99968	-	5.3	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	99438	Y	het	centromere	10073533	NA	Target	Motif:Jockey-3_Dmel_08212020	3724	4266
ISO1|Y_Contig26|104013-104543|-|	ISO1	Y_Contig26	104013	104543	-	6.4	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	104013	Y	het	centromere	10078108	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4266
ISO1|Y_Contig26|103325-103856|-|	ISO1	Y_Contig26	103325	103856	-	6	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	103325	Y	het	centromere	10077420	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4266
ISO1|Y_Contig26|108160-108609|+|	ISO1	Y_Contig26	108160	108609	+	6.5	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	108160	Y	het	centromere	10082255	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4184
ISO1|Y_Contig26|110254-110703|+|	ISO1	Y_Contig26	110254	110703	+	6	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	110254	Y	het	centromere	10084349	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4184
ISO1|Y_Contig26|91905-92319|-|	ISO1	Y_Contig26	91905	92319	-	5.6	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	91905	Y	het	centromere	10066000	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4149
ISO1|Y_Contig26|86773-87290|-|	ISO1	Y_Contig26	86773	87290	-	4.6	1	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	86773	Y	het	centromere	10060868	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4252
ISO1|Y_Contig26|102769-103325|+|	ISO1	Y_Contig26	102769	103325	+	4.9	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	102769	Y	het	centromere	10076864	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4291
ISO1|Y_Contig26|102079-102610|+|	ISO1	Y_Contig26	102079	102610	+	5.7	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	102079	Y	het	centromere	10076174	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4266
ISO1|Y_Contig26|98884-99438|+|	ISO1	Y_Contig26	98884	99438	+	4.5	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	98884	Y	het	centromere	10072979	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4289
ISO1|Y_Contig26|115629-116183|-|	ISO1	Y_Contig26	115629	116183	-	5.2	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	115629	Y	het	centromere	10089724	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4289
ISO1|Y_Contig26|113586-114142|-|	ISO1	Y_Contig26	113586	114142	-	5	1	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	113586	Y	het	centromere	10087681	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4291
ISO1|Y_Contig26|106887-107443|+|	ISO1	Y_Contig26	106887	107443	+	5.4	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	106887	Y	het	centromere	10080982	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4291
ISO1|Y_Contig26|111002-111476|-|	ISO1	Y_Contig26	111002	111476	-	6.1	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	111002	Y	het	centromere	10085097	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4209
ISO1|Y_Contig26|106043-106598|-|	ISO1	Y_Contig26	106043	106598	-	5.6	1	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	106043	Y	het	centromere	10080138	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4290
ISO1|Y_Contig26|108984-109538|+|	ISO1	Y_Contig26	108984	109538	+	5.2	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	108984	Y	het	centromere	10083079	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4289
ISO1|Y_Contig26|77259-77790|-|	ISO1	Y_Contig26	77259	77790	-	4.5	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	77259	Y	het	centromere	10051354	NA	Target	Motif:Jockey-3_Dmel_08212020	3724	4267
ISO1|Y_Contig26|111755-112271|+|	ISO1	Y_Contig26	111755	112271	+	5.1	1	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	111755	Y	het	centromere	10085850	NA	Target	Motif:Jockey-3_Dmel_08212020	3740	4266
ISO1|Y_Contig26|114422-114936|+|	ISO1	Y_Contig26	114422	114936	+	5.1	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	114422	Y	het	centromere	10088517	NA	Target	Motif:Jockey-3_Dmel_08212020	3740	4266
ISO1|Y_Contig26|105307-105852|+|	ISO1	Y_Contig26	105307	105852	+	5	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	105307	Y	het	centromere	10079402	NA	Target	Motif:Jockey-3_Dmel_08212020	3740	4295
ISO1|Y_Contig26|114936-115496|-|	ISO1	Y_Contig26	114936	115496	-	5.2	4	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	114936	Y	het	centromere	10089031	NA	Target	Motif:Jockey-3_Dmel_08212020	3723	4295
ISO1|Y_Contig26|112271-112827|-|	ISO1	Y_Contig26	112271	112827	-	4.7	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	112271	Y	het	centromere	10086366	NA	Target	Motif:Jockey-3_Dmel_08212020	3724	4292
ISO1|Y_Contig26|35843-36446|+|	ISO1	Y_Contig26	35843	36446	+	3	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	35843	Y	het	centromere	10009938	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4267
ISO1|Y_Contig26|45563-46188|+|	ISO1	Y_Contig26	45563	46188	+	4.2	6	6	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	45563	Y	het	centromere	10019658	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4293
ISO1|Y_Contig26|68858-69460|+|	ISO1	Y_Contig26	68858	69460	+	3.6	1	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	68858	Y	het	centromere	10042953	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4266
ISO1|Y_Contig26|63514-64115|+|	ISO1	Y_Contig26	63514	64115	+	4	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	63514	Y	het	centromere	10037609	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4265
ISO1|Y_Contig26|66222-66824|+|	ISO1	Y_Contig26	66222	66824	+	3.5	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	66222	Y	het	centromere	10040317	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4266
ISO1|Y_Contig26|56076-56698|+|	ISO1	Y_Contig26	56076	56698	+	3.2	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	56076	Y	het	centromere	10030171	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4287
ISO1|Y_Contig26|58153-58778|+|	ISO1	Y_Contig26	58153	58778	+	3.4	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	58153	Y	het	centromere	10032248	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4289
ISO1|Y_Contig26|47397-48018|+|	ISO1	Y_Contig26	47397	48018	+	3.9	3	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	47397	Y	het	centromere	10021492	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4285
ISO1|Y_Contig26|49482-50096|+|	ISO1	Y_Contig26	49482	50096	+	3.4	2	2	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	49482	Y	het	centromere	10023577	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4289
ISO1|Y_Contig26|61450-62073|+|	ISO1	Y_Contig26	61450	62073	+	3.2	0	0	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	61450	Y	het	centromere	10035545	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4287
ISO1|Y_Contig26|72983-73557|+|	ISO1	Y_Contig26	72983	73557	+	3.8	4	4	centromere	no	no	no	no	no	yes	0	keep	no	Y_Contig26	72983	Y	het	centromere	10047078	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4266
ISO1|Y_Contig26|117800-118401|+|	ISO1	Y_Contig26	117800	118401	+	3.8	9	8	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	117800	Y	het	centromere	10091895	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4297
ISO1|Contig119|64034-64542|-|	ISO1	Contig119	64034	64542	-	2.4	6	2	centromere	no	no	no	no	no	no	0	keep	no	Contig119	64034	4	het	centromere	64034	NA	Target	Motif:Jockey-3_Dmel_08212020	3787	4295
ISO1|Y_Contig26|42794-43405|+|	ISO1	Y_Contig26	42794	43405	+	2.3	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	42794	Y	het	centromere	10016889	NA	Target	Motif:Jockey-3_Dmel_08212020	3665	4284
ISO1|Y_Contig26|2693-3880|+|	ISO1	Y_Contig26	2693	3880	+	1.9	1	1	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	2693	Y	het	centromere	9976788	NA	Target	Motif:Jockey-3_Dmel_08212020	3087	4303
ISO1|Y_Contig70|6052-6495|+|	ISO1	Y_Contig70	6052	6495	+	4.7	0	0	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	6052	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	3087	3559
ISO1|Y_Contig70|16541-18423|+|	ISO1	Y_Contig70	16541	18423	+	2.2	1	1	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	16541	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	1380	3322
ISO1|Y_Contig70|11173-13687|+|	ISO1	Y_Contig70	11173	13687	+	2.9	9	9	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	11173	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	1380	4000
ISO1|Y_Contig70|18421-18965|+|	ISO1	Y_Contig70	18421	18965	+	5.8	2	2	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	18421	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	3517	4106
ISO1|Y_Contig26|2254-2689|+|	ISO1	Y_Contig26	2254	2689	+	3.5	3	3	centromere	no	no	no	no	no	no	0	keep	no	Y_Contig26	2254	Y	het	centromere	9976349	NA	Target	Motif:Jockey-3_Dmel_08212020	2447	2881
ISO1|Y_Contig70|5613-6048|+|	ISO1	Y_Contig70	5613	6048	+	3	1	1	non-centromere	no	no	no	no	no	no	0	keep	no	Y_Contig70	5613	Y	het	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	2447	2881
ISO1|Contig119|42718-43720|-|	ISO1	Contig119	42718	43720	-	5.6	12	12	centromere	no	no	no	no	no	no	0	keep	no	Contig119	42718	4	het	centromere	42718	NA	Target	Motif:Jockey-3_Dmel_08212020	2548	3594
ISO1|Contig119|35446-36118|+|	ISO1	Contig119	35446	36118	+	6	11	11	centromere	no	no	no	no	no	no	0	keep	no	Contig119	35446	4	het	centromere	35446	NA	Target	Motif:Jockey-3_Dmel_08212020	2930	3601
ISO1|Contig79|6011-7190|+|	ISO1	Contig79	6011	7190	+	4.8	20	20	centromere	no	no	no	no	no	no	0	keep	no	Contig79	6011	X	het	centromere	25230277	NA	Target	Motif:Jockey-3_Dmel_08212020	2930	4133
ISO1|Y_scaffold5|346753-348945|+|	ISO1	Y_scaffold5	346753	348945	+	0.8	11	5	non-centromere	no	yes	yes	yes	no	no	0	keep	no	Y_scaffold5	346753	Y	het	.	10560805	NA	Target	Motif:Jockey-3_Dmel_08212020	1	2186
ISO1|Contig119|60368-60772|+|	ISO1	Contig119	60368	60772	+	4.2	10	10	centromere	no	no	no	no	no	no	0	keep	no	Contig119	60368	4	het	centromere	60368	NA	Target	Motif:Jockey-3_Dmel_08212020	2014	2418
ISO1|3R_5|46496-48181|-|	ISO1	3R_5	46496	48181	-	2.1	4	4	centromere	no	no	no	no	yes	no	0	keep	no	3R_5	46496	3	het	centromere	29503952	NA	Target	Motif:Jockey-3_Dmel_08212020	2594	4291
ISO1|3R_5|52818-54474|-|	ISO1	3R_5	52818	54474	-	4.5	5	4	centromere	no	no	no	no	yes	no	0	keep	no	3R_5	52818	3	het	centromere	29497630	NA	Target	Motif:Jockey-3_Dmel_08212020	2594	4290
ISO1|tig00022795|13724-14327|+|	ISO1	tig00022795	13724	14327	+	4	1	1	non-centromere	no	yes	no	no	no	no	0	keep	no	tig00022795	13724	3	het	proximal_centromeric region	29664172	NA	Target	Motif:Jockey-3_Dmel_08212020	2594	3208
ISO1|tig00022795|28713-29723|+|	ISO1	tig00022795	28713	29723	+	8.5	1	1	non-centromere	no	yes	no	no	no	no	0	keep	no	tig00022795	28713	3	het	proximal_centromeric region	29679161	NA	Target	Motif:Jockey-3_Dmel_08212020	2594	4078
ISO1|3R_5|19275-19684|-|	ISO1	3R_5	19275	19684	-	4.4	3	3	centromere	no	no	no	no	no	no	0	keep	no	3R_5	19275	3	het	centromere	29531173	NA	Target	Motif:Jockey-3_Dmel_08212020	3653	4078
ISO1|tig00022795|14326-14753|+|	ISO1	tig00022795	14326	14753	+	4	0	0	non-centromere	no	no	no	no	no	no	0	keep	no	tig00022795	14326	3	het	proximal_centromeric region	29664774	NA	Target	Motif:Jockey-3_Dmel_08212020	3653	4078
ISO1|3R_5|19683-20286|-|	ISO1	3R_5	19683	20286	-	4.6	2	2	centromere	no	yes	no	no	no	no	0	keep	no	3R_5	19683	3	het	centromere	29530765	NA	Target	Motif:Jockey-3_Dmel_08212020	2594	3208
b59|tig00002204|2506465-2507942|+|	b59	tig00002204	2506465	2507942	+	0.7	3	2	non-centromere	yes	yes	no	no	no	no	0	keep	no	3R_28	16058679	3	eu	.	NA	NA	Target	Motif:Jockey-3_Dmel_08212020	2815	4291
ISO1|3R_9|0-555|+|	ISO1	3R_9	0	555	+	0.7	0	0	non-centromere	yes	no	no	no	no	no	0	keep	no	3R_9	0	3	het	proximal_centromeric region	30157975	NA	Target	Motif:Jockey-3_Dmel_08212020	3749	4303
ISO1|Contig11|34119-37421|+|	ISO1	Contig11	34119	37421	+	0.5	3	2	non-centromere	yes	yes	no	no	no	no	5	keep	no	Contig11	34119	3	het	proximal_centromeric region	30507633	NA	Target	Motif:Jockey-3_Dmel_08212020	1002	4303
